TVD,Northing,Easting
0,0,0
142.9997379,0.111605202,-0.209193686
237.9989312,0.320149744,-0.537429263
357.9983978,0.512647876,-0.798184804
547.9983727,0.468327832,-0.853114626
737.9976109,0.564261935,-1.303207897
926.9965907,0.753824396,-1.861626196
1116.99509,0.650964525,-2.561860137
1305.99117,0.529119585,-3.770446907
1495.984605,0.350786642,-5.329301846
1685.975517,0.692755727,-7.112009369
1875.96799,1.917680893,-8.212050773
2064.965446,2.664298774,-8.717874485
2254.963511,2.919854854,-9.517964399
2444.962222,3.021898643,-9.419260883
2633.957286,3.378465748,-8.144385774
2823.950872,3.867153308,-6.686961401
3013.948362,4.132438402,-5.871511904
3202.947059,4.818708291,-5.781028305
3392.944699,5.731529412,-5.954421835
3581.939157,6.909223054,-6.763157518
3771.935598,6.890747676,-7.547329552
3961.932578,5.93835004,-7.938215779
4150.930999,5.89224047,-8.645690045
4340.923906,7.122389874,-8.223203288
4529.892482,9.74711012,-6.017187081
4719.867932,11.88091748,-3.929598659
4909.860382,12.40933809,-2.355395304
5099.85478,12.33162522,-0.898799825
5242.849597,11.93038595,0.235373865
5330.844409,11.57212885,1.115971152
5393.838883,11.43986387,1.937434682
5488.829001,11.49223278,3.303744177
5583.821761,11.74078124,4.442495143
5678.818078,12.23846858,5.084571041
5772.814825,12.99773596,5.148062376
5867.808961,13.91189932,4.645270057
5962.799602,14.90885978,3.762330151
5993.796862,15.20070526,3.472687408
6025.792038,15.17497579,3.850851818
6057.714258,14.37498469,5.836163175
6088.421471,12.61520323,9.653012167
6119.811929,9.83887376,15.19708017
6150.906812,6.325195252,21.87784793
6180.761696,2.302964192,29.187553
6211.232467,-2.621033443,37.62001515
6241.186011,-8.523598824,47.1960275
6269.577929,-15.25250364,57.65461387
6298.16651,-23.19892542,69.62616248
6325.037598,-31.76381751,82.48275048
6351.744193,-41.28001235,97.31020449
6377.420217,-51.54424754,113.4088013
6401.329711,-62.44821348,129.8471917
6424.93922,-74.74073524,147.6023158
6446.64363,-87.7086103,165.532014
6467.997011,-102.0532039,184.5623876
6488.431757,-117.0976207,204.0542073
6507.218288,-132.1457731,223.5858552
6525.269091,-148.0719412,244.6614634
6541.755813,-164.2756204,266.7830705
6556.247912,-180.1494873,289.1155534
6569.747837,-196.6918774,312.9464861
6581.592709,-212.9481423,336.5324362
6591.897816,-228.4419196,358.7748777
6616.90379,-275.77523,428.5334958
